context,question,answer
"LUCKNOW

29.

K M AUTOCRAFT (1381-13-01), 76/3, BARAURA, 
HUSSAIN BARI, HARDOI ROAD, LUCKNOW - 
226003
PH :2473369.",What is the contact number for K M Autocraft in Lucknow?,The contact number for K M Autocraft in Lucknow is 2473369.
"Vehicle  and  the  available  features/acces-
sories therein should be used and plied by
the  owner/user  in  accordance  with  the
applicable legal requirements.

MARUTI SUZUKI INDIA LIMITED believes
in  conservation  and  protection  of  Earth’s
natural resources.
To  that  end,  we  encourage  every  vehicle
owner  to  recycle,  trade-in  or  properly  dis-
pose  of,  as  appropriate,  used  Engine  Oil,
coolant  and  other  fluids,  batteries  and
tyres etc.

MARUTI SUZUKI INDIA LIMITED

All information in  this manual is based
on the latest product information avail-
able  at  the  time  of  publication.  Due  to
improvements  or  other  changes,  there
may be discrepancies between informa-
tion  in  this  manual  and  your  vehicle.
MARUTI  SUZUKI 
LIMITED
reserves  the  right  to  make  production
changes at any time, without notice and
incurring  any  obligation  to
without 
make  the  same  or  similar  changes  to
vehicles previously built or sold.

INDIA","What does MARUTI SUZUKI INDIA LIMITED encourage vehicle owners to do with used engine oil, coolant, and other fluids?","MARUTI SUZUKI INDIA LIMITED encourages vehicle owners to recycle, trade-in, or properly dispose of used engine oil, coolant, and other fluids."
"INDIA 

This vehicle may not comply with stan-
dards or regulations of other countries.
Before  attempting  to  register  this  vehi-
cle in any other country, check all appli-
cable regulations and make any neces-
sary modifications.",What should be done before attempting to register this vehicle in another country?,"Before attempting to register this vehicle in another country, it is important to check all applicable regulations and make any necessary modifications."
"FOREWORD
This  manual  is  an  essential  part  of  your
vehicle  and  should  always  be  referred  for
the  vehicle  by  user/  owner  and  must  be
passed  on  to  new  users/  owners  when
resold  or  otherwise  transferred  to  a  new
owner  or  operator.  Please  read  this  man-
ual  carefully  before  operating  your  new
MARUTI  SUZUKI  and  review  the  manual
from  time  to  time.  It  contains  important
information on safety, operation and main-
tenance. You are invited to avail the three
Free  Inspection  Services  as  described  in
the manual. Three free inspection coupons
are  attached  to  this  manual.  Please  show
this manual to your dealer workshop while
you  take  your  MARUTI  SUZUKI  for  any
Service.
To  prolong  the  life  of  your  vehicle  and
reduce  maintenance  cost,  the  periodic
maintenance  must  be  carried  out  accord-
ing 
“PERIODIC  MAINTENANCE
SCHEDULE”  described  in  “INSPECTION
AND MAINTENANCE” section of this man-",What important information does the manual contain?,"The manual contains important information on safety, operation, and maintenance of the vehicle."
"“PERIODIC  MAINTENANCE
SCHEDULE”  described  in  “INSPECTION
AND MAINTENANCE” section of this man-
ual.  It  is  essential  for  preventing  trouble
and  accidents  to  ensure  your  satisfaction
and safety.
Daily  inspection  and  care  as  per  “DAILY
INSPECTION  CHECKLIST”  described  in
the  “OPERATING  YOUR  VEHICLE”  sec-
tion of this manual is essential for prolong-
ing  the  life  of  the  vehicle  and  for  safe
driving.",What is the purpose of the "PERIODIC MAINTENANCE SCHEDULE" described in the car manual guide?,"The purpose of the ""PERIODIC MAINTENANCE SCHEDULE"" described in the car manual guide is to prevent trouble and accidents, ensure customer satisfaction and safety."
"to 

IMPORTANT
WARNING/ 

 CAUTION/NOTICE/

NOTE
Please  read  this  manual  and  follow  its
instructions  carefully.  To  emphasize  spe-
cial information, the symbol and the words
WARNING,  CAUTION,  NOTICE  and
NOTE have special meanings. Pay partic-
ular  attention  to  messages  highlighted  by
these signal words:

WARNING

Indicates  a  potential  hazard  that
could  result 
in  death  or  serious
injury.

CAUTION

Indicates  a  potential  hazard  that
could  result  in  minor  or  moderate
injury.

NOTICE

Indicates  a  potential  hazard  that
could result in vehicle damage.

NOTE:
Indicates  special 
to  make
maintenance easier or instructions clearer.

information 

MODIFICATION WARNING

WARNING

Do not modify your vehicle. Modifica-
tion  could  adversely  affect  safety,
handling,  performance,  or  durability
and may violate governmental regula-
tions.  In  addition,  damage  or  perfor-
mance  problems 
from
modification  shall  not  be  covered
under warranty.","What does the symbol and the words ""WARNING,"" ""CAUTION,"" ""NOTICE,"" and ""NOTE"" indicate in the manual?","The symbol and the words ""WARNING,"" ""CAUTION,"" ""NOTICE,"" and ""NOTE"" in the manual indicate special information and potential hazards that the reader should pay attention to."
"resulting 

75F135

NOTICE

The  circle  with  a  slash  in  this  manual
means “Don’t do this” or “Don’t let this hap-
pen”.

NOTE:
• Words like car, model/variant are invari-
ably  used  in  this  manual  to  denote  the
“Vehicle”.

• Pictorial  representations  used  in  this
manual are for reference purposes only.

Improper installation of mobile commu-
nication  equipment  such  as  cellular
telephones, CB (Citizen’s Band) radios
may cause electronic interference with
your  vehicle’s  ignition  system,  result-
ing  in  vehicle  performance  problems.
Consult your Maruti Suzuki authorised
workshop  or  qualified  service  techni-
cian  for  advice  on 
installing  such
mobile communication equipment.

NOTICE

The  diagnostic  connector  of  your
vehicle  is  prepared  only  for  the  spe-
cific  diagnostic  tool  for  inspection
and service purpose. Connecting any
other  tool  or  device  may  interfere
with  electronic  parts  operations  and
cause running out of batteries.",What is the purpose of the circle with a slash symbol in the car manual?,The circle with a slash symbol in the car manual indicates actions that should not be done or situations that should be avoided. It serves as a warning or prohibition sign.
"“WARNING”

Vehicle  may  break-down,  meet  with  an 
accident or catch fire due to

1. Installation of

- High wattage bulbs
- Non genuine lamps / horns
- Modified suspension / wheels
- Non genuine  parts / accessories etc.

2. Retrofitment of LPG / CNG fuel systems/kits.

3. Usage of domestic LPG.

4. Short circuiting due to tampering of wiring harness.

CAUTION: DO NOT STORE OR CARRY INFLAMMABLE MATERIALS IN THE VEHICLE.

Avoid driving into or starting the vehicle in a 
heavily water logged area. Vehicle may break-
down or engine may fail due to

1. Water entry into the engine (which may lead to hydrostatic lock).

2. Short circuiting of the electrical systems.

If the vehicle is stuck in deep water, do not 
start / crank the vehicle until the level of water 
drops below the level of exhaust pipe.

NOTE:
IF  THE  VEHICLE  IS  SUBMERGED  IN  WATER,  REPORT    TO    THE    NEAREST 
AUTHORIZED  WORKSHOP.

“CAUTION”","What are some potential causes of a vehicle breaking down, meeting with an accident, or catching fire?","Some potential causes of a vehicle breaking down, meeting with an accident, or catching fire include the installation of high wattage bulbs, non-genuine lamps/horns, modified suspension/wheels, non-genuine parts/accessories, retrofitment of LPG/CNG fuel systems/kits, usage of domestic LPG, and short circuiting due to tampering of wiring harness."
"“CAUTION”

1. Retro-fitment  of  LPG  /  CNG  kit  may  deteriorate  vehicle  performance,  reduce  engine  &  engine  related component’s life and

also warranty will be null and void for such vehicles.

2. Do not use domestic LPG/LPG cylinder for your factory fitted LPG vehicles.
3. Usage of domestic LPG for running vehicles is prohibited as per law.
4. Do  not  remove  company  fitted  LPG/CNG  kit  to  install  some  other  kit.  It  may  affect  vehicle  performance and may

cause fire.

5. Drive  slowly  on  wet  roads.  Tires  may  slip  while  braking  at  higher  speeds  due  to  aquaplaning.(reduced contact area

between tire and road due to presence of water)

6. Do not leave engine running in garages or confined areas, with passengers inside. This may result in accumulation of carbon-

monoxide in cabin and may lead to suffocation or breathing problems.

If the vehicle is equipped with CNG/LPG, ensure availability of fire extinguisher in the vehicle all the time.",What are the potential consequences of retro-fitting an LPG/CNG kit to a vehicle?,"Retro-fitting an LPG/CNG kit to a vehicle may deteriorate vehicle performance, reduce engine and engine-related component's life, and void the warranty for such vehicles."
"7. Do not park vehicle on dry leaves or grass. This may lead to fire due to hot catalytic converter, igniting the dry leaves/grass.
8.
9. Always wear seat belt at all the times.
10. Do not use mobile phone while driving.
11. Avoid Smoking in the car, live bud thrown in car may cause fire.
12. Do not put any body part under the vehicle when it is supported on a Jack.
13. Do not use non-genuine accessories in your vehicle.
14. Do not fit accessories from unauthorized workshops/sources.
15. Usage of non-approved electrical accessories in your vehicle may result in spark, fire or personal injury.
16. Do not use camphor, incense sticks inside cabin room. Doing so may cause fire.
17. Avoid usage of cellular phones while refueling. Electric current and/or electronic interference from cellular phones can

potentially ignite fuel vapors and cause fire.",What precautions should be taken to prevent fires in a vehicle?,"To prevent fires in a vehicle, it is important to follow these precautions:
- Do not park the vehicle on dry leaves or grass, as the hot catalytic converter can ignite them.
- Always wear a seat belt while driving.
- Avoid using a mobile phone while driving.
- Do not smoke in the car, as a lit cigarette bud can cause a fire.
- Do not put any body part under the vehicle when it is supported on a jack.
- Use only genuine accessories in the vehicle and avoid fitting accessories from unauthorized sources.
- Do not use non-approved electrical accessories, as they may result in sparks, fire, or personal injury.
- Avoid using camphor or incense sticks inside the cabin, as they can cause a fire.
- Refrain from using cellular phones while refueling, as they can potentially ignite fuel vapors and cause a fire."
